feature_view,feature_view_label,channel,contrast,n_a,n_b,mean_a,mean_b,delta_mean_a_minus_b,mannwhitney_p_value,mannwhitney_q_value_bh_within_view_contrast
ck_enriched_top50,CK-enriched top 50%,PD-1,low_all_vs_zero_ISH_not_evaluated,57,43,0.12363022475685233,0.1546959034788015,-0.031065678721949166,0.005587914135279314,0.0188016169583395
ck_enriched_top50,CK-enriched top 50%,PD-1,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.12615583271102304,0.1546959034788015,-0.028540070767778453,0.013841190076035749,0.027682380152071497
ck_enriched_top50,CK-enriched top 50%,PD-1,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.11961221210248985,0.1729523120006473,-0.05334009989815747,0.011024386335205907,0.05761239435097337
ck_enriched_top50,CK-enriched top 50%,CD11c,low_IHC1_any_ISH_vs_zero_all,35,61,0.009995089716052445,0.011939507278106944,-0.0019444175620544988,0.011249963713570692,0.01799994194171311
ck_enriched_top50,CK-enriched top 50%,CD11c,low_IHC2_ISH_negative_vs_zero_all,22,61,0.009142896928666388,0.011939507278106944,-0.002796610349440556,0.05179305295285163,0.08736364580908966
ck_enriched_top50,CK-enriched top 50%,CD11c,low_all_vs_zero_ISH_negative,57,18,0.00966617320162274,0.012061593521573698,-0.0023954203199509586,0.020018062630438708,0.03461721426602359
ck_enriched_top50,CK-enriched top 50%,CD11c,low_all_vs_zero_ISH_not_evaluated,57,43,0.00966617320162274,0.011888401408748767,-0.002222228207126028,0.020048556600567827,0.02291263611493466
ck_enriched_top50,CK-enriched top 50%,CD11c,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.009995089716052445,0.011888401408748767,-0.0018933116926963221,0.02779602033037523,0.044473632528600364
ck_enriched_top50,CK-enriched top 50%,CD11c,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.009142896928666388,0.012061593521573698,-0.00291869659290731,0.045695237767880544,0.09139047553576109
ck_enriched_top50,CK-enriched top 50%,CD4,low_IHC1_any_ISH_vs_zero_all,35,61,0.048956546980002257,0.06903943560965246,-0.020082888629650207,0.0032202509778934615,0.008619671177238483
ck_enriched_top50,CK-enriched top 50%,CD4,low_IHC2_ISH_negative_vs_zero_all,22,61,0.04925024907952702,0.06903943560965246,-0.019789186530125444,0.06402692965522332,0.08736364580908966
ck_enriched_top50,CK-enriched top 50%,CD4,low_all_vs_zero_ISH_negative,57,18,0.049069905685081995,0.0766094287714438,-0.02753952308636181,0.025962910699517693,0.03461721426602359
ck_enriched_top50,CK-enriched top 50%,CD4,low_all_vs_zero_ISH_not_evaluated,57,43,0.049069905685081995,0.06587060126285608,-0.01680069557777409,0.007050606359377313,0.0188016169583395
ck_enriched_top50,CK-enriched top 50%,CD4,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.048956546980002257,0.06587060126285608,-0.01691405428285383,0.008237104626341656,0.027682380152071497
ck_enriched_top50,CK-enriched top 50%,CD4,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.04925024907952702,0.0766094287714438,-0.027359179691916785,0.1313388802882457,0.17511850705099427
ck_enriched_top50,CK-enriched top 50%,CD3,low_IHC1_any_ISH_vs_zero_all,35,61,0.0559073574542082,0.0767598997152505,-0.020852542261042308,0.004309835588619242,0.008619671177238483
ck_enriched_top50,CK-enriched top 50%,CD3,low_IHC2_ISH_negative_vs_zero_all,22,61,0.05630714781639636,0.0767598997152505,-0.020452751898854142,0.06552273435681724,0.08736364580908966
ck_enriched_top50,CK-enriched top 50%,CD3,low_all_vs_zero_ISH_negative,57,18,0.05606166250628082,0.08544418366636689,-0.029382521160086064,0.022822819980284504,0.03461721426602359
ck_enriched_top50,CK-enriched top 50%,CD3,low_all_vs_zero_ISH_not_evaluated,57,43,0.05606166250628082,0.07312461806129482,-0.017062955555013998,0.009992639409796498,0.019985278819592996
ck_enriched_top50,CK-enriched top 50%,CD3,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.0559073574542082,0.07312461806129482,-0.017217260607086622,0.012018845569263113,0.027682380152071497
ck_enriched_top50,CK-enriched top 50%,CD3,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.05630714781639636,0.08544418366636689,-0.029137035849970523,0.1117441747835024,0.17511850705099427
ck_enriched_top50,CK-enriched top 50%,CK,low_IHC1_any_ISH_vs_zero_all,35,61,0.2806176901111579,0.3616816955428981,-0.0810640054317402,0.001063323023595326,0.008506584188762607
ck_enriched_top50,CK-enriched top 50%,CK,low_IHC2_ISH_negative_vs_zero_all,22,61,0.3090704271198097,0.3616816955428981,-0.052611268423088386,0.1443101180247637,0.16492584917115852
ck_enriched_top50,CK-enriched top 50%,CK,low_all_vs_zero_ISH_negative,57,18,0.2915994482548481,0.35719427249736924,-0.06559482424252111,0.035490928799283755,0.04056106148489572
ck_enriched_top50,CK-enriched top 50%,CK,low_all_vs_zero_ISH_not_evaluated,57,43,0.2915994482548481,0.3635601517014916,-0.07196070344664346,0.005128013491441426,0.0188016169583395
ck_enriched_top50,CK-enriched top 50%,CK,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.2806176901111579,0.3635601517014916,-0.0829424615903337,0.0025790546513868736,0.02063243721109499
ck_enriched_top50,CK-enriched top 50%,CK,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.3090704271198097,0.35719427249736924,-0.04812384537755954,0.28288484419187154,0.28288484419187154
